,t,obs,action,tot_t,is_done,obs_next,stage,reward,trialID,blockID,rewardplanet,transition,highstate,randomplanet,p_reward_low,p_ambiguity,p_trans,p_reward_high
40,1,0.0,1,41,False,1.0,0,0.0,21.0,1,[1. 1.],[1 2],0,,0.5,0.0,[0.4 0.4],0.5
41,0,1.0,0,42,False,0.0,1,1.0,21.0,1,[1. 1.],[2 2],0,,0.5,0.0,[0.4 0.4],0.5
42,1,0.0,1,43,False,2.0,0,0.0,22.0,1,[1. 1.],[2 2],0,,0.5,0.0,[0.4 0.4],0.5
43,0,2.0,0,44,False,0.0,1,1.0,22.0,1,[1. 1.],[2 1],0,,0.5,0.0,[0.4 0.4],0.5
44,1,0.0,1,45,False,2.0,0,0.0,23.0,1,[1. 1.],[2 1],0,,0.5,0.0,[0.4 0.4],0.5
45,0,2.0,0,46,False,0.0,1,1.0,23.0,1,[1. 0.],[2 2],0,,0.5,0.0,[0.4 0.4],0.5
46,1,0.0,1,47,False,2.0,0,0.0,24.0,1,[1. 0.],[2 2],0,,0.5,0.0,[0.4 0.4],0.5
47,0,2.0,0,48,False,0.0,1,0.0,24.0,1,[1. 1.],[2 1],0,,0.5,0.0,[0.4 0.4],0.5
48,1,0.0,1,49,False,2.0,0,0.0,25.0,1,[1. 1.],[2 1],0,,0.5,0.0,[0.4 0.4],0.5
49,0,2.0,0,50,False,0.0,1,1.0,25.0,1,[1. 0.],[1 2],0,,0.5,0.0,[0.4 0.4],0.5
50,1,0.0,1,51,False,1.0,0,0.0,26.0,1,[1. 0.],[1 2],0,,0.5,0.0,[0.4 0.4],0.5
51,0,1.0,0,52,False,0.0,1,1.0,26.0,1,[1. 0.],[2 2],0,,0.5,0.0,[0.4 0.4],0.5
52,1,0.0,1,53,False,2.0,0,0.0,27.0,1,[1. 0.],[2 2],0,,0.5,0.0,[0.4 0.4],0.5
53,0,2.0,0,54,False,0.0,1,0.0,27.0,1,[0. 0.],[2 1],0,,0.5,0.0,[0.4 0.4],0.5
54,1,0.0,1,55,False,2.0,0,0.0,28.0,1,[0. 0.],[2 1],0,,0.5,0.0,[0.4 0.4],0.5
55,0,2.0,0,56,False,0.0,1,0.0,28.0,1,[0. 1.],[1 2],0,,0.5,0.0,[0.4 0.4],0.5
56,1,0.0,1,57,False,1.0,0,0.0,29.0,1,[0. 1.],[1 2],0,,0.5,0.0,[0.4 0.4],0.5
57,0,1.0,0,58,False,0.0,1,0.0,29.0,1,[1. 0.],[1 1],0,,0.5,0.0,[0.4 0.4],0.5
58,1,0.0,1,59,False,1.0,0,0.0,30.0,1,[1. 0.],[1 1],0,,0.5,0.0,[0.4 0.4],0.5
59,0,1.0,0,60,True,0.0,1,1.0,30.0,1,[1. 1.],[2 1],0,,0.5,0.0,[0.4 0.4],0.5
0,1,0.0,1,1,False,2.0,0,0.0,1.0,1,[0. 1.],[2 1],0,,0.5,0.0,[0.4 0.4],0.5
1,0,2.0,0,2,False,0.0,1,1.0,1.0,1,[1. 1.],[2 1],0,,0.5,0.0,[0.4 0.4],0.5
2,1,0.0,1,3,False,2.0,0,0.0,2.0,1,[1. 1.],[2 1],0,,0.5,0.0,[0.4 0.4],0.5
3,0,2.0,0,4,False,0.0,1,1.0,2.0,1,[1. 0.],[1 1],0,,0.5,0.0,[0.4 0.4],0.5
4,1,0.0,1,5,False,1.0,0,0.0,3.0,1,[1. 0.],[1 1],0,,0.5,0.0,[0.4 0.4],0.5
5,0,1.0,0,6,False,0.0,1,1.0,3.0,1,[0. 1.],[2 1],0,,0.5,0.0,[0.4 0.4],0.5
6,1,0.0,1,7,False,2.0,0,0.0,4.0,1,[0. 1.],[2 1],0,,0.5,0.0,[0.4 0.4],0.5
7,0,2.0,0,8,False,0.0,1,1.0,4.0,1,[0. 0.],[1 1],0,,0.5,0.0,[0.4 0.4],0.5
8,1,0.0,1,9,False,1.0,0,0.0,5.0,1,[0. 0.],[1 1],0,,0.5,0.0,[0.4 0.4],0.5
9,0,1.0,0,10,False,0.0,1,0.0,5.0,1,[1. 1.],[2 1],0,,0.5,0.0,[0.4 0.4],0.5
10,1,0.0,1,11,False,2.0,0,0.0,6.0,1,[1. 1.],[2 1],0,,0.5,0.0,[0.4 0.4],0.5
11,0,2.0,0,12,False,0.0,1,1.0,6.0,1,[1. 0.],[2 2],0,,0.5,0.0,[0.4 0.4],0.5
12,1,0.0,1,13,False,2.0,0,0.0,7.0,1,[1. 0.],[2 2],0,,0.5,0.0,[0.4 0.4],0.5
13,0,2.0,0,14,False,0.0,1,0.0,7.0,1,[0. 1.],[2 1],0,,0.5,0.0,[0.4 0.4],0.5
14,1,0.0,1,15,False,2.0,0,0.0,8.0,1,[0. 1.],[2 1],0,,0.5,0.0,[0.4 0.4],0.5
15,0,2.0,0,16,False,0.0,1,1.0,8.0,1,[1. 0.],[2 2],0,,0.5,0.0,[0.4 0.4],0.5
16,1,0.0,1,17,False,2.0,0,0.0,9.0,1,[1. 0.],[2 2],0,,0.5,0.0,[0.4 0.4],0.5
17,0,2.0,0,18,False,0.0,1,0.0,9.0,1,[1. 0.],[2 1],0,,0.5,0.0,[0.4 0.4],0.5
18,1,0.0,1,19,False,2.0,0,0.0,10.0,1,[1. 0.],[2 1],0,,0.5,0.0,[0.4 0.4],0.5
19,0,2.0,0,20,False,0.0,1,0.0,10.0,1,[0. 1.],[1 1],0,,0.5,0.0,[0.4 0.4],0.5
20,1,0.0,1,21,False,1.0,0,0.0,11.0,1,[0. 1.],[1 1],0,,0.5,0.0,[0.4 0.4],0.5
21,0,1.0,0,22,False,0.0,1,0.0,11.0,1,[0. 0.],[1 1],0,,0.5,0.0,[0.4 0.4],0.5
22,1,0.0,2,23,False,1.0,0,0.0,12.0,1,[0. 0.],[1 1],0,,0.5,0.0,[0.4 0.4],0.5
23,0,1.0,0,24,False,0.0,1,0.0,12.0,1,[1. 1.],[1 2],0,,0.5,0.0,[0.4 0.4],0.5
24,1,0.0,1,25,False,1.0,0,0.0,13.0,1,[1. 1.],[1 2],0,,0.5,0.0,[0.4 0.4],0.5
25,0,1.0,0,26,False,0.0,1,1.0,13.0,1,[1. 1.],[1 2],0,,0.5,0.0,[0.4 0.4],0.5
26,1,0.0,1,27,False,1.0,0,0.0,14.0,1,[1. 1.],[1 2],0,,0.5,0.0,[0.4 0.4],0.5
27,0,1.0,0,28,False,0.0,1,1.0,14.0,1,[0. 1.],[2 2],0,,0.5,0.0,[0.4 0.4],0.5
28,1,0.0,1,29,False,2.0,0,0.0,15.0,1,[0. 1.],[2 2],0,,0.5,0.0,[0.4 0.4],0.5
29,0,2.0,0,30,False,0.0,1,1.0,15.0,1,[1. 1.],[2 2],0,,0.5,0.0,[0.4 0.4],0.5
30,1,0.0,1,31,False,2.0,0,0.0,16.0,1,[1. 1.],[2 2],0,,0.5,0.0,[0.4 0.4],0.5
31,0,2.0,0,32,False,0.0,1,1.0,16.0,1,[0. 0.],[2 2],0,,0.5,0.0,[0.4 0.4],0.5
32,1,0.0,1,33,False,2.0,0,0.0,17.0,1,[0. 0.],[2 2],0,,0.5,0.0,[0.4 0.4],0.5
33,0,2.0,0,34,False,0.0,1,0.0,17.0,1,[0. 0.],[2 1],0,,0.5,0.0,[0.4 0.4],0.5
34,1,0.0,1,35,False,2.0,0,0.0,18.0,1,[0. 0.],[2 1],0,,0.5,0.0,[0.4 0.4],0.5
35,0,2.0,0,36,False,0.0,1,0.0,18.0,1,[1. 0.],[2 2],0,,0.5,0.0,[0.4 0.4],0.5
36,1,0.0,1,37,False,2.0,0,0.0,19.0,1,[1. 0.],[2 2],0,,0.5,0.0,[0.4 0.4],0.5
37,0,2.0,0,38,False,0.0,1,0.0,19.0,1,[1. 1.],[1 2],0,,0.5,0.0,[0.4 0.4],0.5
38,1,0.0,1,39,False,1.0,0,0.0,20.0,1,[1. 1.],[1 2],0,,0.5,0.0,[0.4 0.4],0.5
39,0,1.0,0,40,False,0.0,1,1.0,20.0,1,[1. 1.],[2 1],0,,0.5,0.0,[0.4 0.4],0.5
40,1,0.0,1,41,False,2.0,0,0.0,21.0,1,[1. 1.],[2 1],0,,0.5,0.0,[0.4 0.4],0.5
41,0,2.0,0,42,False,0.0,1,1.0,21.0,1,[1. 0.],[2 1],0,,0.5,0.0,[0.4 0.4],0.5
42,1,0.0,1,43,False,2.0,0,0.0,22.0,1,[1. 0.],[2 1],0,,0.5,0.0,[0.4 0.4],0.5
43,0,2.0,0,44,False,0.0,1,0.0,22.0,1,[1. 1.],[1 1],0,,0.5,0.0,[0.4 0.4],0.5
44,1,0.0,1,45,False,1.0,0,0.0,23.0,1,[1. 1.],[1 1],0,,0.5,0.0,[0.4 0.4],0.5
45,0,1.0,0,46,False,0.0,1,1.0,23.0,1,[1. 0.],[2 1],0,,0.5,0.0,[0.4 0.4],0.5
46,1,0.0,1,47,False,2.0,0,0.0,24.0,1,[1. 0.],[2 1],0,,0.5,0.0,[0.4 0.4],0.5
47,0,2.0,0,48,False,0.0,1,0.0,24.0,1,[0. 0.],[2 1],0,,0.5,0.0,[0.4 0.4],0.5
48,1,0.0,1,49,False,2.0,0,0.0,25.0,1,[0. 0.],[2 1],0,,0.5,0.0,[0.4 0.4],0.5
49,0,2.0,0,50,False,0.0,1,0.0,25.0,1,[0. 1.],[1 2],0,,0.5,0.0,[0.4 0.4],0.5
50,1,0.0,1,51,False,1.0,0,0.0,26.0,1,[0. 1.],[1 2],0,,0.5,0.0,[0.4 0.4],0.5
51,0,1.0,0,52,False,0.0,1,0.0,26.0,1,[1. 0.],[1 1],0,,0.5,0.0,[0.4 0.4],0.5
52,1,0.0,1,53,False,1.0,0,0.0,27.0,1,[1. 0.],[1 1],0,,0.5,0.0,[0.4 0.4],0.5
53,0,1.0,0,54,False,0.0,1,1.0,27.0,1,[0. 0.],[1 1],0,,0.5,0.0,[0.4 0.4],0.5
54,1,0.0,1,55,False,1.0,0,0.0,28.0,1,[0. 0.],[1 1],0,,0.5,0.0,[0.4 0.4],0.5
55,0,1.0,0,56,False,0.0,1,0.0,28.0,1,[1. 0.],[1 1],0,,0.5,0.0,[0.4 0.4],0.5
56,1,0.0,2,57,False,1.0,0,0.0,29.0,1,[1. 0.],[1 1],0,,0.5,0.0,[0.4 0.4],0.5
57,0,1.0,0,58,False,0.0,1,1.0,29.0,1,[1. 1.],[2 2],0,,0.5,0.0,[0.4 0.4],0.5
58,1,0.0,2,59,False,2.0,0,0.0,30.0,1,[1. 1.],[2 2],0,,0.5,0.0,[0.4 0.4],0.5
59,0,2.0,0,60,True,0.0,1,1.0,30.0,1,[1. 1.],[1 1],0,,0.5,0.0,[0.4 0.4],0.5
0,1,0.0,1,1,False,2.0,0,0.0,1.0,1,[1. 0.],[2 2],1,,0.5,0.0,[0.4 0.4],0.5
1,0,2.0,0,2,False,0.0,1,0.0,1.0,1,[0. 0.],[1 2],1,,0.5,0.0,[0.4 0.4],0.5
2,1,0.0,2,3,False,2.0,0,0.0,2.0,1,[0. 0.],[1 2],1,,0.5,0.0,[0.4 0.4],0.5
3,0,2.0,0,4,False,0.0,1,0.0,2.0,1,[1. 0.],[1 1],1,,0.5,0.0,[0.4 0.4],0.5
4,1,0.0,2,5,False,1.0,0,0.0,3.0,1,[1. 0.],[1 1],1,,0.5,0.0,[0.4 0.4],0.5
5,0,1.0,0,6,False,0.0,1,1.0,3.0,1,[1. 1.],[2 2],1,,0.5,0.0,[0.4 0.4],0.5
6,1,0.0,2,7,False,2.0,0,0.0,4.0,1,[1. 1.],[2 2],1,,0.5,0.0,[0.4 0.4],0.5
7,0,2.0,0,8,False,0.0,1,1.0,4.0,1,[1. 1.],[1 2],1,,0.5,0.0,[0.4 0.4],0.5
8,1,0.0,2,9,False,2.0,0,0.0,5.0,1,[1. 1.],[1 2],1,,0.5,0.0,[0.4 0.4],0.5
9,0,2.0,0,10,False,0.0,1,1.0,5.0,1,[0. 0.],[2 1],1,,0.5,0.0,[0.4 0.4],0.5
10,1,0.0,2,11,False,1.0,0,0.0,6.0,1,[0. 0.],[2 1],1,,0.5,0.0,[0.4 0.4],0.5
11,0,1.0,0,12,False,0.0,1,0.0,6.0,1,[0. 0.],[1 1],1,,0.5,0.0,[0.4 0.4],0.5
12,1,0.0,2,13,False,1.0,0,0.0,7.0,1,[0. 0.],[1 1],1,,0.5,0.0,[0.4 0.4],0.5
13,0,1.0,0,14,False,0.0,1,0.0,7.0,1,[1. 1.],[2 1],1,,0.5,0.0,[0.4 0.4],0.5
14,1,0.0,1,15,False,2.0,0,0.0,8.0,1,[1. 1.],[2 1],1,,0.5,0.0,[0.4 0.4],0.5
15,0,2.0,0,16,False,0.0,1,1.0,8.0,1,[0. 0.],[2 2],1,,0.5,0.0,[0.4 0.4],0.5
16,1,0.0,1,17,False,2.0,0,0.0,9.0,1,[0. 0.],[2 2],1,,0.5,0.0,[0.4 0.4],0.5
17,0,2.0,0,18,False,0.0,1,0.0,9.0,1,[0. 1.],[1 1],1,,0.5,0.0,[0.4 0.4],0.5
18,1,0.0,1,19,False,1.0,0,0.0,10.0,1,[0. 1.],[1 1],1,,0.5,0.0,[0.4 0.4],0.5
19,0,1.0,0,20,False,0.0,1,0.0,10.0,1,[0. 1.],[2 2],1,,0.5,0.0,[0.4 0.4],0.5
20,1,0.0,1,21,False,2.0,0,0.0,11.0,1,[0. 1.],[2 2],1,,0.5,0.0,[0.4 0.4],0.5
21,0,2.0,0,22,False,0.0,1,1.0,11.0,1,[0. 1.],[1 2],1,,0.5,0.0,[0.4 0.4],0.5
22,1,0.0,1,23,False,1.0,0,0.0,12.0,1,[0. 1.],[1 2],1,,0.5,0.0,[0.4 0.4],0.5
23,0,1.0,0,24,False,0.0,1,0.0,12.0,1,[0. 0.],[1 1],1,,0.5,0.0,[0.4 0.4],0.5
24,1,0.0,1,25,False,1.0,0,0.0,13.0,1,[0. 0.],[1 1],1,,0.5,0.0,[0.4 0.4],0.5
25,0,1.0,0,26,False,0.0,1,0.0,13.0,1,[0. 0.],[2 1],1,,0.5,0.0,[0.4 0.4],0.5
26,1,0.0,2,27,False,1.0,0,0.0,14.0,1,[0. 0.],[2 1],1,,0.5,0.0,[0.4 0.4],0.5
27,0,1.0,0,28,False,0.0,1,0.0,14.0,1,[1. 1.],[2 2],1,,0.5,0.0,[0.4 0.4],0.5
28,1,0.0,1,29,False,2.0,0,0.0,15.0,1,[1. 1.],[2 2],1,,0.5,0.0,[0.4 0.4],0.5
29,0,2.0,0,30,False,0.0,1,1.0,15.0,1,[1. 0.],[1 1],1,,0.5,0.0,[0.4 0.4],0.5
30,1,0.0,1,31,False,1.0,0,0.0,16.0,1,[1. 0.],[1 1],1,,0.5,0.0,[0.4 0.4],0.5
31,0,1.0,0,32,False,0.0,1,1.0,16.0,1,[0. 1.],[2 1],1,,0.5,0.0,[0.4 0.4],0.5
32,1,0.0,1,33,False,2.0,0,0.0,17.0,1,[0. 1.],[2 1],1,,0.5,0.0,[0.4 0.4],0.5
33,0,2.0,0,34,False,0.0,1,1.0,17.0,1,[1. 0.],[2 1],1,,0.5,0.0,[0.4 0.4],0.5
34,1,0.0,1,35,False,2.0,0,0.0,18.0,1,[1. 0.],[2 1],1,,0.5,0.0,[0.4 0.4],0.5
35,0,2.0,0,36,False,0.0,1,0.0,18.0,1,[1. 1.],[2 2],1,,0.5,0.0,[0.4 0.4],0.5
36,1,0.0,1,37,False,2.0,0,0.0,19.0,1,[1. 1.],[2 2],1,,0.5,0.0,[0.4 0.4],0.5
37,0,2.0,0,38,False,0.0,1,1.0,19.0,1,[0. 0.],[1 1],1,,0.5,0.0,[0.4 0.4],0.5
38,1,0.0,1,39,False,1.0,0,0.0,20.0,1,[0. 0.],[1 1],1,,0.5,0.0,[0.4 0.4],0.5
39,0,1.0,0,40,False,0.0,1,0.0,20.0,1,[1. 1.],[2 1],1,,0.5,0.0,[0.4 0.4],0.5
40,1,0.0,1,41,False,2.0,0,0.0,21.0,1,[1. 1.],[2 1],1,,0.5,0.0,[0.4 0.4],0.5
41,0,2.0,0,42,False,0.0,1,1.0,21.0,1,[1. 0.],[1 1],1,,0.5,0.0,[0.4 0.4],0.5
42,1,0.0,1,43,False,1.0,0,0.0,22.0,1,[1. 0.],[1 1],1,,0.5,0.0,[0.4 0.4],0.5
43,0,1.0,0,44,False,0.0,1,1.0,22.0,1,[0. 0.],[1 1],1,,0.5,0.0,[0.4 0.4],0.5
44,1,0.0,1,45,False,1.0,0,0.0,23.0,1,[0. 0.],[1 1],1,,0.5,0.0,[0.4 0.4],0.5
45,0,1.0,0,46,False,0.0,1,0.0,23.0,1,[1. 0.],[2 1],1,,0.5,0.0,[0.4 0.4],0.5
46,1,0.0,1,47,False,2.0,0,0.0,24.0,1,[1. 0.],[2 1],1,,0.5,0.0,[0.4 0.4],0.5
47,0,2.0,0,48,False,0.0,1,0.0,24.0,1,[0. 0.],[2 1],1,,0.5,0.0,[0.4 0.4],0.5
48,1,0.0,1,49,False,2.0,0,0.0,25.0,1,[0. 0.],[2 1],1,,0.5,0.0,[0.4 0.4],0.5
49,0,2.0,0,50,False,0.0,1,0.0,25.0,1,[1. 0.],[1 2],1,,0.5,0.0,[0.4 0.4],0.5
50,1,0.0,2,51,False,2.0,0,0.0,26.0,1,[1. 0.],[1 2],1,,0.5,0.0,[0.4 0.4],0.5
51,0,2.0,0,52,False,0.0,1,0.0,26.0,1,[0. 0.],[1 2],1,,0.5,0.0,[0.4 0.4],0.5
52,1,0.0,1,53,False,1.0,0,0.0,27.0,1,[0. 0.],[1 2],1,,0.5,0.0,[0.4 0.4],0.5
53,0,1.0,0,54,False,0.0,1,0.0,27.0,1,[1. 0.],[1 2],1,,0.5,0.0,[0.4 0.4],0.5
54,1,0.0,2,55,False,2.0,0,0.0,28.0,1,[1. 0.],[1 2],1,,0.5,0.0,[0.4 0.4],0.5
55,0,2.0,0,56,False,0.0,1,0.0,28.0,1,[1. 1.],[1 2],1,,0.5,0.0,[0.4 0.4],0.5
56,1,0.0,1,57,False,1.0,0,0.0,29.0,1,[1. 1.],[1 2],1,,0.5,0.0,[0.4 0.4],0.5
57,0,1.0,0,58,False,0.0,1,1.0,29.0,1,[1. 0.],[2 1],1,,0.5,0.0,[0.4 0.4],0.5
58,1,0.0,1,59,False,2.0,0,0.0,30.0,1,[1. 0.],[2 1],1,,0.5,0.0,[0.4 0.4],0.5
59,0,2.0,0,60,True,0.0,1,0.0,30.0,1,[1. 1.],[2 1],1,,0.5,0.0,[0.4 0.4],0.5
0,1,0.0,1,1,False,1.0,0,0.0,1.0,1,[1. 0.],[1 1],0,,0.5,0.0,[0.4 0.4],0.5
1,0,1.0,0,2,False,0.0,1,1.0,1.0,1,[0. 1.],[1 2],0,,0.5,0.0,[0.4 0.4],0.5
2,1,0.0,1,3,False,1.0,0,0.0,2.0,1,[0. 1.],[1 2],0,,0.5,0.0,[0.4 0.4],0.5
3,0,1.0,0,4,False,0.0,1,0.0,2.0,1,[1. 1.],[2 1],0,,0.5,0.0,[0.4 0.4],0.5
4,1,0.0,1,5,False,2.0,0,0.0,3.0,1,[1. 1.],[2 1],0,,0.5,0.0,[0.4 0.4],0.5
5,0,2.0,0,6,False,0.0,1,1.0,3.0,1,[0. 0.],[2 1],0,,0.5,0.0,[0.4 0.4],0.5
6,1,0.0,1,7,False,2.0,0,0.0,4.0,1,[0. 0.],[2 1],0,,0.5,0.0,[0.4 0.4],0.5
7,0,2.0,0,8,False,0.0,1,0.0,4.0,1,[0. 0.],[1 1],0,,0.5,0.0,[0.4 0.4],0.5
8,1,0.0,1,9,False,1.0,0,0.0,5.0,1,[0. 0.],[1 1],0,,0.5,0.0,[0.4 0.4],0.5
9,0,1.0,0,10,False,0.0,1,0.0,5.0,1,[0. 0.],[1 1],0,,0.5,0.0,[0.4 0.4],0.5
10,1,0.0,2,11,False,1.0,0,0.0,6.0,1,[0. 0.],[1 1],0,,0.5,0.0,[0.4 0.4],0.5
11,0,1.0,0,12,False,0.0,1,0.0,6.0,1,[1. 0.],[2 1],0,,0.5,0.0,[0.4 0.4],0.5
12,1,0.0,1,13,False,2.0,0,0.0,7.0,1,[1. 0.],[2 1],0,,0.5,0.0,[0.4 0.4],0.5
13,0,2.0,0,14,False,0.0,1,0.0,7.0,1,[0. 1.],[1 2],0,,0.5,0.0,[0.4 0.4],0.5
14,1,0.0,1,15,False,1.0,0,0.0,8.0,1,[0. 1.],[1 2],0,,0.5,0.0,[0.4 0.4],0.5
15,0,1.0,0,16,False,0.0,1,0.0,8.0,1,[1. 0.],[2 2],0,,0.5,0.0,[0.4 0.4],0.5
16,1,0.0,1,17,False,2.0,0,0.0,9.0,1,[1. 0.],[2 2],0,,0.5,0.0,[0.4 0.4],0.5
17,0,2.0,0,18,False,0.0,1,0.0,9.0,1,[1. 0.],[1 1],0,,0.5,0.0,[0.4 0.4],0.5
18,1,0.0,2,19,False,1.0,0,0.0,10.0,1,[1. 0.],[1 1],0,,0.5,0.0,[0.4 0.4],0.5
19,0,1.0,0,20,False,0.0,1,1.0,10.0,1,[0. 0.],[2 1],0,,0.5,0.0,[0.4 0.4],0.5
20,1,0.0,2,21,False,1.0,0,0.0,11.0,1,[0. 0.],[2 1],0,,0.5,0.0,[0.4 0.4],0.5
21,0,1.0,0,22,False,0.0,1,0.0,11.0,1,[0. 1.],[2 2],0,,0.5,0.0,[0.4 0.4],0.5
22,1,0.0,2,23,False,2.0,0,0.0,12.0,1,[0. 1.],[2 2],0,,0.5,0.0,[0.4 0.4],0.5
23,0,2.0,0,24,False,0.0,1,1.0,12.0,1,[0. 0.],[2 1],0,,0.5,0.0,[0.4 0.4],0.5
24,1,0.0,2,25,False,1.0,0,0.0,13.0,1,[0. 0.],[2 1],0,,0.5,0.0,[0.4 0.4],0.5
25,0,1.0,0,26,False,0.0,1,0.0,13.0,1,[0. 0.],[1 1],0,,0.5,0.0,[0.4 0.4],0.5
26,1,0.0,2,27,False,1.0,0,0.0,14.0,1,[0. 0.],[1 1],0,,0.5,0.0,[0.4 0.4],0.5
27,0,1.0,0,28,False,0.0,1,0.0,14.0,1,[1. 0.],[2 2],0,,0.5,0.0,[0.4 0.4],0.5
28,1,0.0,1,29,False,2.0,0,0.0,15.0,1,[1. 0.],[2 2],0,,0.5,0.0,[0.4 0.4],0.5
29,0,2.0,0,30,False,0.0,1,0.0,15.0,1,[1. 1.],[1 1],0,,0.5,0.0,[0.4 0.4],0.5
30,1,0.0,1,31,False,1.0,0,0.0,16.0,1,[1. 1.],[1 1],0,,0.5,0.0,[0.4 0.4],0.5
31,0,1.0,0,32,False,0.0,1,1.0,16.0,1,[0. 1.],[2 2],0,,0.5,0.0,[0.4 0.4],0.5
32,1,0.0,1,33,False,2.0,0,0.0,17.0,1,[0. 1.],[2 2],0,,0.5,0.0,[0.4 0.4],0.5
33,0,2.0,0,34,False,0.0,1,1.0,17.0,1,[1. 1.],[1 2],0,,0.5,0.0,[0.4 0.4],0.5
34,1,0.0,1,35,False,1.0,0,0.0,18.0,1,[1. 1.],[1 2],0,,0.5,0.0,[0.4 0.4],0.5
35,0,1.0,0,36,False,0.0,1,1.0,18.0,1,[1. 1.],[2 1],0,,0.5,0.0,[0.4 0.4],0.5
36,1,0.0,1,37,False,2.0,0,0.0,19.0,1,[1. 1.],[2 1],0,,0.5,0.0,[0.4 0.4],0.5
37,0,2.0,0,38,False,0.0,1,1.0,19.0,1,[0. 1.],[2 1],0,,0.5,0.0,[0.4 0.4],0.5
38,1,0.0,1,39,False,2.0,0,0.0,20.0,1,[0. 1.],[2 1],0,,0.5,0.0,[0.4 0.4],0.5
39,0,2.0,0,40,False,0.0,1,1.0,20.0,1,[1. 1.],[2 2],0,,0.5,0.0,[0.4 0.4],0.5
40,1,0.0,1,41,False,2.0,0,0.0,21.0,1,[1. 1.],[2 2],0,,0.5,0.0,[0.4 0.4],0.5
41,0,2.0,0,42,False,0.0,1,1.0,21.0,1,[0. 0.],[2 2],0,,0.5,0.0,[0.4 0.4],0.5
42,1,0.0,1,43,False,2.0,0,0.0,22.0,1,[0. 0.],[2 2],0,,0.5,0.0,[0.4 0.4],0.5
43,0,2.0,0,44,False,0.0,1,0.0,22.0,1,[0. 1.],[2 1],0,,0.5,0.0,[0.4 0.4],0.5
44,1,0.0,1,45,False,2.0,0,0.0,23.0,1,[0. 1.],[2 1],0,,0.5,0.0,[0.4 0.4],0.5
45,0,2.0,0,46,False,0.0,1,1.0,23.0,1,[0. 1.],[2 1],0,,0.5,0.0,[0.4 0.4],0.5
46,1,0.0,1,47,False,2.0,0,0.0,24.0,1,[0. 1.],[2 1],0,,0.5,0.0,[0.4 0.4],0.5
47,0,2.0,0,48,False,0.0,1,1.0,24.0,1,[1. 1.],[2 1],0,,0.5,0.0,[0.4 0.4],0.5
48,1,0.0,1,49,False,2.0,0,0.0,25.0,1,[1. 1.],[2 1],0,,0.5,0.0,[0.4 0.4],0.5
49,0,2.0,0,50,False,0.0,1,1.0,25.0,1,[1. 1.],[2 1],0,,0.5,0.0,[0.4 0.4],0.5
50,1,0.0,1,51,False,2.0,0,0.0,26.0,1,[1. 1.],[2 1],0,,0.5,0.0,[0.4 0.4],0.5
51,0,2.0,0,52,False,0.0,1,1.0,26.0,1,[0. 0.],[1 2],0,,0.5,0.0,[0.4 0.4],0.5
52,1,0.0,1,53,False,1.0,0,0.0,27.0,1,[0. 0.],[1 2],0,,0.5,0.0,[0.4 0.4],0.5
53,0,1.0,0,54,False,0.0,1,0.0,27.0,1,[0. 0.],[1 1],0,,0.5,0.0,[0.4 0.4],0.5
54,1,0.0,1,55,False,1.0,0,0.0,28.0,1,[0. 0.],[1 1],0,,0.5,0.0,[0.4 0.4],0.5
55,0,1.0,0,56,False,0.0,1,0.0,28.0,1,[0. 0.],[1 2],0,,0.5,0.0,[0.4 0.4],0.5
56,1,0.0,1,57,False,1.0,0,0.0,29.0,1,[0. 0.],[1 2],0,,0.5,0.0,[0.4 0.4],0.5
57,0,1.0,0,58,False,0.0,1,0.0,29.0,1,[1. 0.],[2 1],0,,0.5,0.0,[0.4 0.4],0.5
58,1,0.0,2,59,False,1.0,0,0.0,30.0,1,[1. 0.],[2 1],0,,0.5,0.0,[0.4 0.4],0.5
59,0,1.0,0,60,True,0.0,1,1.0,30.0,1,[1. 0.],[1 1],0,,0.5,0.0,[0.4 0.4],0.5
0,1,0.0,1,1,False,1.0,0,0.0,1.0,1,[0. 0.],[1 2],1,,0.5,0.0,[0.6 0.6],0.5
1,0,1.0,0,2,False,0.0,1,0.0,1.0,1,[0. 1.],[2 2],1,,0.5,0.0,[0.6 0.6],0.5
2,1,0.0,2,3,False,2.0,0,0.0,2.0,1,[0. 1.],[2 2],1,,0.5,0.0,[0.6 0.6],0.5
3,0,2.0,0,4,False,0.0,1,1.0,2.0,1,[1. 0.],[1 1],1,,0.5,0.0,[0.6 0.6],0.5
4,1,0.0,2,5,False,1.0,0,0.0,3.0,1,[1. 0.],[1 1],1,,0.5,0.0,[0.6 0.6],0.5
5,0,1.0,0,6,False,0.0,1,1.0,3.0,1,[1. 0.],[2 2],1,,0.5,0.0,[0.6 0.6],0.5
6,1,0.0,2,7,False,2.0,0,0.0,4.0,1,[1. 0.],[2 2],1,,0.5,0.0,[0.6 0.6],0.5
7,0,2.0,0,8,False,0.0,1,0.0,4.0,1,[1. 1.],[1 2],1,,0.5,0.0,[0.6 0.6],0.5
8,1,0.0,2,9,False,2.0,0,0.0,5.0,1,[1. 1.],[1 2],1,,0.5,0.0,[0.6 0.6],0.5
9,0,2.0,0,10,False,0.0,1,1.0,5.0,1,[0. 1.],[2 1],1,,0.5,0.0,[0.6 0.6],0.5
